       9,    6823,    5597,      30,     325,      89,       0,       0,   46.97,     100
      10,    6818,    5661,      32,     324,      77,       0,       0,   46.97,     100
       9,    6811,    5527,      30,     325,      87,       0,       0,   46.97,     100
       9,    6827,    5433,      27,     325,      53,       0,       0,   46.97,     100
      10,    6808,    5299,      33,     324,     111,       0,       0,   46.97,     100
       9,    6808,    5687,      26,     325,      60,       1,       0,   46.97,     100
      10,    6825,    5612,      32,     325,     100,       1,       0,   46.97,     100
       9,    6821,    5530,      29,     324,      74,       1,       0,   46.97,     100
      10,    6823,    5565,      29,     325,      93,       1,       0,   47.00,     100
       9,    6807,    5498,      29,     325,      67,       0,       0,   46.97,     100
       9,    6815,    5637,      29,     325,      84,       1,       0,   46.97,     100
       9,    6810,    5601,      33,     324,      91,       1,       0,   46.97,     100
       9,    6820,    5676,      48,     324,      65,       0,       0,   47.00,     100
       9,    6814,    5531,      29,     325,      74,       1,       0,   47.00,     100
       9,    6810,    5573,      28,     325,      75,       0,       0,   46.97,     100
       9,    6812,    5542,      27,     324,      93,       0,       0,   47.00,     100
       8,    6819,    5464,      40,     325,      79,       0,       0,   47.00,     100
       8,    6830,    5521,      27,     325,      86,       0,       0,   46.97,     100
       9,    6806,    5559,      30,     325,      78,       0,       0,   46.97,     100
       8,    6810,    5411,      32,     325,      82,       1,       0,   47.00,     100
       9,    6825,    5559,      30,     325,      98,       0,       0,   47.00,     100
       8,    6801,    5624,      40,     325,      67,       0,       0,   47.00,     100
       9,    6822,    5503,      29,     325,      73,       1,       0,   47.00,     100
       9,    6810,    5586,      30,     325,      92,       0,       0,   46.97,     100
      10,    6818,    5423,      32,     325,      79,       0,       0,   46.97,     100
       9,    6814,    5587,      32,     325,      88,       1,       0,   47.00,     100
      10,    6824,    5546,      28,     325,      99,       0,       0,   46.97,     100
       9,    6821,    5609,      34,     325,      97,       0,       0,   47.00,     100
       9,    6826,    5500,      28,     325,      77,       1,       0,   47.00,     100
      10,    6815,    5565,      32,     324,      91,       0,       0,   46.97,     100
       9,    6820,    5598,      80,     325,     109,       1,       0,   47.00,     100
       9,    6815,    5478,      56,     325,      85,       0,       0,   47.00,     100
       9,    6810,    5502,      32,     325,      86,       0,       0,   47.00,     100
       8,    6813,    5638,      48,     324,      99,       0,       0,   47.00,     100
      10,    6811,    5540,      32,     325,      64,       1,       0,   47.00,     100
       9,    6821,    5563,      26,     325,      96,       0,       0,   47.04,     100
       9,    6807,    5599,      40,     325,      66,       1,       0,   47.00,     100
       8,    6810,    5580,      28,     324,      80,       0,       0,   47.00,     100
       9,    6820,    5567,      28,     325,      90,       1,       0,   47.00,     100
       9,    6811,    5390,      56,     325,      83,       1,       0,   46.97,     100
       9,    6811,    5543,      25,     325,      89,       1,       0,   47.00,     100
      10,    6813,    5544,      27,     325,      87,       0,       0,   47.00,     100
       8,    6834,    5587,      34,     324,     101,       1,       0,   47.00,     100
       9,    6810,    5562,      30,     325,      91,       0,       0,   47.00,     100
       9,    6804,    5517,      30,     325,      93,       1,       0,   47.00,     100
       8,    6822,    5646,      30,     325,     102,       1,       0,   47.00,     100
       8,    6812,    5553,      27,     324,      75,       1,       0,   47.00,     100
       9,    6811,    5480,      29,     325,      63,       0,       0,   47.00,     100
       9,    6812,    5477,      26,     325,      96,       1,       0,   46.97,     100
       8,    6811,    5531,      40,     324,      68,       0,       0,   47.00,     100
       8,    6817,    5498,      31,     324,      70,       1,       0,   47.00,     100
       9,    6814,    5588,      30,     324,      67,       1,       0,   47.00,     100
       9,    6814,    5448,      25,     325,      78,       1,       0,   47.00,     100
       9,    6819,    5582,      25,     325,      95,       0,       0,   47.00,     100
       9,    6819,    5511,      32,     324,      81,       1,       0,   47.00,     100
       9,    6817,    5643,      25,     325,      69,       1,       0,   47.00,     100
       9,    6818,    5552,      27,     325,      87,       0,       0,   46.97,     100
       9,    6812,    5689,      28,     325,     116,       0,       0,   47.00,     100
       9,    6823,    5764,      28,     325,      89,       0,       0,   47.00,     100
      10,    6813,    5555,      40,     325,      82,       0,       0,   46.97,     100
       8,    6805,    5451,      56,     325,      62,       0,       0,   47.00,     100
       9,    6809,    5550,      30,     325,     100,       0,       0,   47.00,     100
       8,    6812,    5426,      48,     325,      68,       1,       0,   47.00,     100
       8,    6810,    5573,      26,     325,      67,       1,       0,   47.00,     100
       9,    6813,    5539,      40,     325,      64,       1,       0,   47.00,     100
       9,    6814,    5381,      28,     325,      78,       1,       0,   47.00,     100
       9,    6817,    5451,      28,     325,      86,       0,       0,   46.97,     100
       8,    6813,    5603,      48,     324,      92,       1,       0,   47.00,     100
       9,    6817,    5498,      27,     325,      76,       1,       0,   47.00,     100
       9,    6814,    5578,      30,     325,      83,       0,       0,   47.00,     100
       7,    6811,    5602,      30,     324,      83,       0,       0,   47.00,     100
       8,    6813,    5517,      40,     325,      98,       1,       0,   47.00,     100
       8,    6817,    5572,      40,     324,      72,       0,       0,   47.00,     100
       9,    6811,    5441,      27,     324,      59,       1,       0,   47.00,     100
       9,    6833,    5621,      28,     325,      77,       1,       0,   47.00,     100
       9,    6825,    5629,      31,     325,      99,       1,       0,   47.00,     100
       9,    6803,    5451,      30,     325,      85,       0,       0,   47.00,     100
       9,    6829,    5572,      29,     324,      89,       0,       0,   47.00,     100
       9,    6809,    5363,      32,     324,      83,       0,       0,   47.00,     100
       8,    6813,    5413,      30,     324,      74,       0,       0,   47.00,     100
       8,    6798,    5419,      80,     325,      83,       0,       0,   47.00,     100
       7,    6811,    5528,      28,     325,      88,       1,       0,   47.00,     100
       9,    6814,    5609,      30,     325,      77,       1,       0,   46.97,     100
       9,    6823,    5438,      31,     324,     104,       1,       0,   47.00,     100
       9,    6818,    5558,      25,     325,      90,       1,       0,   47.00,     100
       9,    6814,    5531,      72,     325,      80,       1,       0,   47.00,     100
       9,    6818,    5508,      29,     325,      68,       0,       0,   47.00,     100
       8,    6815,    5473,      29,     325,     105,       1,       0,   47.00,     100
       9,    6820,    5674,      31,     325,      89,       0,       0,   47.00,     100
       9,    6812,    5692,      30,     325,     103,       0,       0,   47.00,     100
      10,    6814,    5479,      33,     324,      90,       1,       0,   47.00,     100
       8,    6813,    5709,      40,     325,     107,       0,       0,   47.00,     100
       9,    6825,    5439,      31,     325,      78,       0,       0,   47.04,     100
      10,    6827,    5642,      64,     325,     115,       1,       0,   47.00,     100
      10,    6813,    5404,      56,     325,      83,       0,       0,   47.00,     100
       9,    6827,    5417,      48,     324,     105,       1,       0,   47.00,     100
       8,    6809,    5442,      27,     325,      79,       1,       0,   47.00,     100
       8,    6812,    5518,      29,     325,      73,       1,       0,   47.04,     100
       8,    6807,    5485,      48,     324,      70,       1,       0,   47.00,     100
       9,    6804,    5715,      34,     325,      79,       0,       0,   47.00,     100
      10,    6821,    5597,      29,     325,      79,       0,       0,   47.00,     100
       9,    6815,    5453,      26,     325,      78,       0,       0,   47.00,     100
       9,    6805,    5752,      40,     325,      88,       1,       0,   47.00,     100
       9,    6815,    5439,      31,     324,      76,       0,       0,   47.00,     100
       9,    6817,    5601,      25,     325,      85,       1,       0,   47.00,     100
       9,    6821,    5491,      29,     324,     101,       1,       0,   47.00,     100
       9,    6819,    5483,      25,     324,      71,       0,       0,   47.00,     100
       9,    6827,    5530,      80,     325,     110,       1,       0,   47.00,     100
       9,    6812,    5561,      26,     325,      77,       0,       0,   47.00,     100
       8,    6820,    5590,      40,     325,      79,       0,       0,   47.00,     100
       9,    6806,    5531,      33,     325,      92,       0,       0,   47.04,     100
       8,    6820,    5675,      40,     325,     119,       0,       0,   47.04,     100
       9,    6810,    5559,      29,     325,      65,       0,       0,   47.04,     100
       9,    6805,    5580,      27,     325,      73,       0,       0,   47.04,     100
       8,    6819,    5648,      30,     325,      78,       1,       0,   47.04,     100
       9,    6813,    5509,      29,     325,      53,       0,       0,   47.04,     100
       9,    6825,    5520,      30,     325,      98,       1,       0,   47.00,     100
      10,    6817,    5309,      56,     324,      66,       1,       0,   47.00,     100
       9,    6808,    5537,      29,     325,      68,       0,       0,   47.00,     100
       9,    6815,    5558,      30,     325,      96,       1,       0,   47.04,     100
       9,    6809,    5634,      31,     325,      91,       1,       0,   47.00,     100
       8,    6827,    5364,      29,     325,      84,       0,       0,   47.00,     100
       9,    6814,    5682,      32,     325,      73,       1,       0,   47.00,     100
       8,    6814,    5554,      29,     325,      82,       0,       0,   47.04,     100
       8,    6826,    5460,      64,     325,      81,       0,       0,   47.04,     100
      10,    6818,    5554,      29,     325,      83,       0,       0,   47.04,     100
       9,    6830,    5510,      29,     325,      78,       0,       0,   47.00,     100
       9,    6807,    5662,      29,     325,      82,       0,       0,   47.04,     100
       8,    6812,    5548,      32,     325,      99,       0,       0,   47.04,     100
       8,    6809,    5731,      30,     325,      97,       1,       0,   47.00,     100
       8,    6812,    5543,      40,     325,     124,       1,       0,   47.04,     100
       8,    6814,    5589,      28,     325,      91,       0,       0,   47.04,     100
       9,    6813,    5502,      33,     324,      55,       1,       0,   47.04,     100
       9,    6813,    5559,      40,     324,      80,       0,       0,   47.04,     100
       9,    6823,    5533,      30,     325,      79,       0,       0,   47.04,     100
       9,    6814,    5447,      25,     325,      98,       0,       0,   47.04,     100
       9,    6809,    5543,      48,     325,      81,       1,       0,   47.04,     100
       9,    6830,    5586,      28,     325,     117,       0,       0,   47.04,     100
      10,    6823,    5511,      48,     325,      82,       1,       0,   47.04,     100
      10,    6807,    5585,      34,     324,      75,       0,       0,   47.04,     100
       8,    6837,    5638,      72,     324,      68,       0,       0,   47.04,     100
       9,    6823,    5638,      29,     325,      78,       0,       0,   47.04,     100
      10,    6815,    5456,      32,     325,      85,       0,       0,   47.00,     100
       9,    6815,    5350,      27,     325,      89,       1,       0,   47.04,     100
       8,    6818,    5582,      40,     325,      71,       1,       0,   47.04,     100
      10,    6814,    5532,      32,     325,      92,       1,       0,   47.04,     100
       8,    6823,    5459,      27,     325,     107,       0,       0,   47.04,     100
       9,    6822,    5342,      32,     325,      72,       0,       0,   47.04,     100
       9,    6815,    5515,      27,     325,      81,       1,       0,   47.04,     100
       9,    6819,    5620,      32,     325,      90,       0,       0,   47.04,     100
       8,    6814,    5707,      28,     325,     105,       0,       0,   47.04,     100
       9,    6809,    5591,      32,     325,      88,       0,       0,   47.04,     100
       8,    6810,    5654,      26,     325,     114,       0,       0,   47.04,     100
       8,    6822,    5553,      29,     325,      66,       1,       0,   47.04,     100
       9,    6813,    5463,      32,     325,      87,       0,       0,   47.04,     100
       9,    6821,    5455,      40,     324,      87,       0,       0,   47.04,     100
       8,    6808,    5597,      28,     325,      78,       0,       0,   47.04,     100
       9,    6834,    5773,      30,     325,      90,       1,       0,   47.04,     100
       8,    6813,    5542,      31,     325,      81,       1,       0,   47.04,     100
       9,    6817,    5540,      27,     325,      98,       0,       0,   47.04,     100
       8,    6811,    5547,      32,     325,      88,       1,       0,   47.04,     100
       9,    6812,    5537,      32,     324,      74,       0,       0,   47.04,     100
       9,    6813,    5693,      31,     325,      92,       1,       0,   47.04,     100
       9,    6822,    5451,      48,     325,      81,       0,       0,   47.00,     100
       9,    6812,    5523,      30,     324,      91,       0,       0,   47.04,     100
      10,    6810,    5598,      40,     324,      81,       1,       0,   47.04,     100
       9,    6807,    5531,      35,     324,      89,       1,       0,   47.04,     100
       9,    6813,    5414,      27,     325,      87,       0,       0,   47.04,     100
       9,    6818,    5668,      28,     325,      90,       1,       0,   47.04,     100
       9,    6812,    5599,      48,     325,      84,       1,       0,   47.04,     100
       9,    6818,    5476,      32,     325,      74,       0,       0,   47.04,     100
       9,    6817,    5486,      29,     324,      95,       1,       0,   47.04,     100
       8,    6827,    5659,      30,     324,      96,       0,       0,   47.04,     100
       9,    6815,    5422,      30,     324,      77,       0,       0,   47.04,     100
       8,    6810,    5513,      28,     325,      74,       1,       0,   47.04,     100
       9,    6811,    5551,      28,     325,      85,       0,       0,   47.08,     100
      10,    6813,    5485,      33,     324,      86,       1,       0,   47.04,     100
       9,    6809,    5559,      27,     324,      85,       1,       0,   47.04,     100
       9,    6831,    5573,      40,     325,      91,       0,       0,   47.04,     100
       9,    6800,    5386,      31,     325,      86,       1,       0,   47.04,     100
       8,    6814,    5564,      31,     325,      95,       1,       0,   47.04,     100
       8,    6804,    5625,      27,     325,      76,       1,       0,   47.04,     100
       9,    6814,    5534,      48,     324,      54,       1,       0,   47.04,     100
      10,    6819,    5493,      30,     325,      74,       1,       0,   47.04,     100
       9,    6817,    5534,      32,     324,      75,       0,       0,   47.08,     100
       9,    6814,    5566,      32,     325,     106,       1,       0,   47.04,     100
       9,    6814,    5686,      32,     325,      90,       0,       0,   47.04,     100
      10,    6803,    5556,      32,     324,      72,       1,       0,   47.04,     100
       8,    6817,    5414,      56,     325,      69,       1,       0,   47.04,     100
       8,    6805,    5571,      32,     325,      69,       0,       0,   47.04,     100
       9,    6804,    5610,      32,     324,      84,       1,       0,   47.04,     100
       9,    6813,    5446,      32,     324,      82,       0,       0,   47.04,     100
      10,    6807,    5628,      40,     325,      88,       1,       0,   47.04,     100
      10,    6825,    5361,      56,     324,      72,       0,       0,   47.04,     100
       8,    6819,    5514,      48,     325,      73,       0,       0,   47.08,     100
       9,    6826,    5434,      25,     325,      92,       0,       0,   47.04,     100
       9,    6807,    5475,      56,     325,      96,       0,       0,   47.04,     100
       9,    6805,    5700,      40,     324,      75,       0,       0,   47.04,     100
       9,    6819,    5621,      31,     324,      75,       1,       0,   47.04,     100
      10,    6806,    5622,      28,     325,      97,       0,       0,   47.04,     100
